ID_Org,Latitude,Longitude,ID_FCER,Waterway
Shark Slough_Site 07A,25.559000000000001,-80.778999999999996,SRS-2,Shark River Slough
Shark Slough_Site 07B,25.553999999999998,-80.783000000000001,SRS-2,Shark River Slough
Shark Slough_Site 07C,25.562999999999999,-80.775999999999996,SRS-2,Shark River Slough
Shark Slough_Site 37A,25.469000000000001,-80.849999999999994,SRS-3,Shark River Slough
Shark Slough_Site 37B,25.466999999999999,-80.855000000000004,SRS-3,Shark River Slough
Shark Slough_Site 37C,25.469999999999999,-80.855999999999995,SRS-3,Shark River Slough
Taylor Slough_Site MDD,25.265000000000001,-80.673000000000002,TS/Ph-3,Taylor Slough
Taylor Slough_Site TSA,25.262000000000000,-80.665999999999997,TS/Ph-3,Taylor Slough
Shark Slough_Site 06A,25.637000000000000,-80.733999999999995,SRS-1,Shark River Slough
Shark Slough_Site 06B,25.632999999999999,-80.721999999999994,SRS-1,Shark River Slough
Shark Slough_Site 06C,25.635999999999999,-80.748000000000005,SRS-1,Shark River Slough
Shark Slough_Site 08A,25.486000000000001,-80.834000000000003,SRS-3,Shark River Slough
Shark Slough_Site 08B,25.492000000000001,-80.829999999999998,SRS-3,Shark River Slough
Shark Slough_Site 08C,25.492999999999999,-80.829999999999998,SRS-3,Shark River Slough
Shark Slough_Site 23A,25.687999999999999,-80.617999999999995,SRS-1,Shark River Slough
Shark Slough_Site 23B,25.678000000000001,-80.614999999999995,SRS-1,Shark River Slough
Shark Slough_Site 23C,25.675000000000001,-80.617000000000004,SRS-1,Shark River Slough
Shark Slough_Site 50A,25.690999999999999,-80.760000000000005,SRS-1,Shark River Slough
Shark Slough_Site 50B,25.686000000000000,-80.757000000000005,SRS-1,Shark River Slough
Shark Slough_Site 50C,25.684999999999999,-80.762000000000000,SRS-1,Shark River Slough
Taylor Slough_Site CPA,25.321999999999999,-80.644000000000005,TS/Ph-4,Taylor Slough
Taylor Slough_Site CPB,25.323000000000000,-80.641000000000005,TS/Ph-4,Taylor Slough
Taylor Slough_Site CPC,25.324999999999999,-80.641999999999996,TS/Ph-4,Taylor Slough
Taylor Slough_Site MDA,25.318000000000001,-80.635000000000005,TS/Ph-4,Taylor Slough
Taylor Slough_Site MDB,25.334000000000000,-80.640000000000001,TS/Ph-4,Taylor Slough
Taylor Slough_Site MDC,25.270000000000000,-80.680999999999997,TS/Ph-3,Taylor Slough
Taylor Slough_Site MDE,25.270000000000000,-80.683000000000007,TS/Ph-3,Taylor Slough
Taylor Slough_Site TSB,25.274999999999999,-80.686999999999998,TS/Ph-3,Taylor Slough
Taylor Slough_Site TSC,25.230000000000000,-80.703999999999994,TS/Ph-6,Taylor Slough
Taylor Slough_Site TSD,25.236000000000001,-80.703999999999994,TS/Ph-6,Taylor Slough
Taylor Slough_Site TSE,25.236999999999998,-80.718000000000004,TS/Ph-6,Taylor Slough
