Org_ID,Latitude,Longitude,Corner
NESS1,25.764,-80.499,NE
NESS2,25.748,-80.502,NE
NESS4,25.755,-80.517,NE
NESS6,25.758,-80.534,NE
NESS7,25.755,-80.574,NE
NESS8,25.752,-80.591,NE
NESS9,25.755,-80.614,NE
NESS10,25.753,-80.635,NE
NESS11,25.692,-80.635,NE
NESS12,25.707,-80.606,NE
NESS13,25.69,-80.546,NE
NESS14,25.703,-80.513,NE
NESS15,25.703,-80.501,NE
NESS16,25.676,-80.518,NE
NESS17,25.732,-80.499,NE
NESS18,25.726,-80.529,NE
NESS19,25.719,-80.558,NE
NESS20,25.669,-80.618,NE
NESS21,25.632,-80.651,NE
NESS26,25.674,-80.669,NE
NESS27,25.735,-80.672,NE
NESS28,25.746,-80.653,NE
NESS29,25.722,-80.6,NE
NESS30,25.664,-80.54,NE
NESS31,25.642,-80.577,NE
NESS32,25.624,-80.578,NE
NESS33,25.609,-80.55,NE
NESS34,25.578,-80.576,NE
NESS35,25.552,-80.6,NE
NESS36,25.577,-80.662,NE
NESS1,25.764,-80.499,SW
NESS2,25.748,-80.502,SW
NESS4,25.755,-80.517,SW
NESS6,25.758,-80.534,SW
NESS7,25.755,-80.574,SW
NESS8,25.752,-80.591,SW
NESS9,25.755,-80.614,SW
NESS10,25.753,-80.635,SW
NESS11,25.692,-80.635,SW
NESS12,25.707,-80.606,SW
NESS13,25.69,-80.546,SW
NESS14,25.703,-80.513,SW
NESS15,25.703,-80.501,SW
NESS16,25.676,-80.518,SW
NESS17,25.732,-80.499,SW
NESS18,25.726,-80.529,SW
NESS19,25.719,-80.558,SW
NESS20,25.669,-80.618,SW
NESS21,25.632,-80.651,SW
NESS26,25.674,-80.669,SW
NESS27,25.735,-80.672,SW
NESS28,25.746,-80.653,SW
NESS29,25.722,-80.6,SW
NESS30,25.664,-80.54,SW
NESS31,25.642,-80.577,SW
NESS32,25.624,-80.578,SW
NESS33,25.609,-80.55,SW
NESS34,25.578,-80.576,SW
NESS35,25.552,-80.6,SW
NESS36,25.577,-80.66,SW
NESS1,25.764,-80.499,NW
NESS2,25.748,-80.502,NW
NESS4,25.755,-80.517,NW
NESS6,25.758,-80.534,NW
NESS7,25.755,-80.574,NW
NESS8,25.752,-80.591,NW
NESS9,25.755,-80.614,NW
NESS10,25.753,-80.635,NW
NESS11,25.692,-80.635,NW
NESS12,25.707,-80.606,NW
NESS13,25.69,-80.546,NW
NESS14,25.703,-80.513,NW
NESS15,25.703,-80.501,NW
NESS16,25.676,-80.518,NW
NESS17,25.732,-80.499,NW
NESS18,25.726,-80.529,NW
NESS19,25.719,-80.558,NW
NESS20,25.669,-80.618,NW
NESS21,25.632,-80.651,NW
NESS26,25.674,-80.669,NW
NESS27,25.735,-80.672,NW
NESS28,25.746,-80.653,NW
NESS29,25.722,-80.6,NW
NESS30,25.664,-80.54,NW
NESS31,25.642,-80.577,NW
NESS32,25.624,-80.578,NW
NESS33,25.609,-80.55,NW
NESS34,25.578,-80.576,NW
NESS35,25.552,-80.6,NW
NESS36,25.577,-80.66,NW
NESS1,25.764,-80.499,SE
NESS2,25.748,-80.502,SE
NESS4,25.755,-80.517,SE
NESS6,25.758,-80.534,SE
NESS7,25.755,-80.574,SE
NESS8,25.752,-80.591,SE
NESS9,25.755,-80.614,SE
NESS10,25.753,-80.635,SE
NESS11,25.692,-80.635,SE
NESS12,25.707,-80.606,SE
NESS13,25.69,-80.546,SE
NESS14,25.703,-80.513,SE
NESS15,25.703,-80.501,SE
NESS16,25.676,-80.518,SE
NESS17,25.732,-80.499,SE
NESS18,25.726,-80.529,SE
NESS19,25.719,-80.558,SE
NESS20,25.669,-80.618,SE
NESS21,25.632,-80.651,SE
NESS26,25.674,-80.669,SE
NESS27,25.735,-80.672,SE
NESS28,25.746,-80.653,SE
NESS29,25.722,-80.6,SE
NESS30,25.664,-80.54,SE
NESS31,25.642,-80.577,SE
NESS32,25.624,-80.578,SE
NESS33,25.609,-80.55,SE
NESS34,25.578,-80.576,SE
NESS35,25.552,-80.6,SE
NESS36,25.577,-80.662,SE
