ID_FCER,Latitude,Longitude
SRS-1a,25.76145171,-80.72742805
SRS-1b,25.75776827,-80.72558792
SRS-1c,25.7552333,-80.5742667
SRS-1d,25.7463,-80.65368
SRS-2,25.54972811,-80.78520692
SRS-3,25.46820617,-80.85327617
SRS-4,25.40976421,-80.96431016
SRS-5,25.37702258,-81.03234716
SRS-6,25.36462994,-81.07794623
TS/Ph-1a,25.42388762,-80.5902979
TS/Ph-1b,25.43857602,-80.59027402
TS/Ph-2,25.40357188,-80.60690341
TS/Ph-3,25.25240534,-80.66271768
TS/Ph-4,25.31472178,-80.52209443
TS/Ph-5,25.29478536,-80.52023732
TS/Ph-6a,25.21418102,-80.6490792
TS/Ph-6b,25.21609115,-80.65101654
TS/Ph-7a,25.19080491,-80.63910514
TS/Ph-7b,25.19676203,-80.64207766
TS/Ph-8,25.23269749,-80.52455665
TS/Ph-9,25.17692874,-80.48978207
TS/Ph-10,25.02476744,-80.68097374
TS/Ph-11,24.91293492,-80.93798347
